index,answerKey,question,choices,A,B,C,D
1180,D,Farm land makes use of what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['countryside', 'michigan', 'north dakota', 'farming areas',
       'illinois'], dtype=object)}",countryside,michigan,north dakota,farming areas
66,D,He was beginning to regret taking the fight when he saw how what his opponent was?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['fun', 'joy', 'satisfaction', 'confident', 'pride'], dtype=object)}",fun,joy,satisfaction,confident
7,D,What do animals do when an enemy is approaching?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['feel pleasure', 'procreate', 'pass water', 'listen to each other',
       'sing'], dtype=object)}",feel pleasure,procreate,pass water,listen to each other
867,A,"Exercise is very good for you, for faster recovery you should always do what afterwards?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['stretch', 'lower cholesterol', 'weigh', 'track', 'expend energy'],
      dtype=object)}",stretch,lower cholesterol,weigh,track
492,C,"Brad tried to arise from bed but he could not.  Instead, he just continued to do what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['go down', 'fall down', 'lie down', 'lie to himself', 'sit down'],
      dtype=object)}",go down,fall down,lie down,lie to himself
470,C,Where can you go to use a piano in your neighborhood if you don't have one?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['music school', 'music store', ""neighbor's house"", 'lunch',
       'drawing room'], dtype=object)}",music school,music store,neighbor's house,lunch
161,D,"The extremely large cargo plane could only land at a specialized runway, these were only located at a what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['back yard', 'bowling alley', 'city', 'military base',
       'fashion show'], dtype=object)}",back yard,bowling alley,city,military base
823,A,Where are traveling clothes often kept?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['suitcase', 'bedroom', 'closet', 'draws', 'dresser'], dtype=object)}",suitcase,bedroom,closet,draws
412,B,What would you do if you have curiosity but are blind and paralyzed?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['hear news', 'analyse', 'go somewhere', 'examine thing',
       'see favorite show'], dtype=object)}",hear news,analyse,go somewhere,examine thing
185,C,Why do most people take a quick rest during the day?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['need to', 'hungry', 'feel more energetic', 'weak', 'regenerate'],
      dtype=object)}",need to,hungry,feel more energetic,weak
488,D,"They were getting ready for a really long hike, he put the food can in his what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['cabinet', 'house', 'recycling center', 'backpack',
       'make person sick'], dtype=object)}",cabinet,house,recycling center,backpack
1164,B,"Hoping for a beautiful day, what did the clouds do that disappointed everyone?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['homely', 'overcast', 'hideous', 'overrated', 'misshapen'],
      dtype=object)}",homely,overcast,hideous,overrated
560,B,"There were times where kids wanted to know a definition, so there was a nice big dictionary in the what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['pocket', 'classroom', 'table', 'library', 'shelf'], dtype=object)}",pocket,classroom,table,library
966,B,If i were to spit a lot without noticing i may have extra what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['phlegm', 'saliva nd mouth', 'disease', 'germs', 'spittle'],
      dtype=object)}",phlegm,saliva nd mouth,disease,germs
1215,B,"If you really wanted a grape, where would you go to get it?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['winery', 'fruit stand', 'field', 'kitchen', 'food'], dtype=object)}",winery,fruit stand,field,kitchen
142,B,"Sam was a stranger.  Even so, Mark treated him like what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['friend', 'family', 'known person', 'park', 'outsider'],
      dtype=object)}",friend,family,known person,park
305,D,What do you write letter in in America?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['syllable', 'post office', 'envelope', 'english alphabet', 'word'],
      dtype=object)}",syllable,post office,envelope,english alphabet
69,D,What continent has the most castles?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['fairy tale', 'edinburgh', 'germany', 'europe', 'antarctica'],
      dtype=object)}",fairy tale,edinburgh,germany,europe
357,B,"A man takes a seat at a museum outside of Barcelona, where is he likely?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['in cinema', 'martorell', 'falling down', 'show', 'airplane'],
      dtype=object)}",in cinema,martorell,falling down,show
887,C,If you're a child answering questions and an adult is asking them that adult is doing what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['discussion', 'explaning', 'teaching', 'confusion', 'correct'],
      dtype=object)}",discussion,explaning,teaching,confusion
571,D,What is someone likely to want as a result of sex?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['sexploiter', 'chicken', 'reproductive cycle', 'procreation',
       'human experience'], dtype=object)}",sexploiter,chicken,reproductive cycle,procreation
934,D,What could happen to you after you are cleaning house for a long time?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['neatness', 'tiredness', 'order', 'exhaustion', 'sneezing'],
      dtype=object)}",neatness,tiredness,order,exhaustion
859,C,Where would you get a pen if you do not have one?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['briefcase', 'desk drawer', ""friend's house"", 'pocket', 'sidewalk'],
      dtype=object)}",briefcase,desk drawer,friend's house,pocket
424,C,In a horror movie victims usually trip when the run in order to do what in regards to the killer?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['frightened', 'run up stairs', 'get away from', 'go quickly',
       'go faster'], dtype=object)}",frightened,run up stairs,get away from,go quickly
275,A,What has a surface with many sides?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['tetrahedron', 'object', 'geometry problem', 'lake', 'triangle'],
      dtype=object)}",tetrahedron,object,geometry problem,lake
472,B,Kissing is normally an activity reserved for your romantic what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['anus', 'partner', 'arousal', 'trust', 'cooperation'], dtype=object)}",anus,partner,arousal,trust
487,D,"When you see something rise, you are where in relation to it?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['sun set', 'near', 'fall', 'below', 'lower'], dtype=object)}",sun set,near,fall,below
262,D,"The forest experienced a cold winter, where is it located?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['earth', 'south america', 'amazon basin', 'temperate zone',
       'national park'], dtype=object)}",earth,south america,amazon basin,temperate zone
873,D,Why do people who are dying receive social security payments?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['rejuvenation', 'born again', 'no longer exist', 'unable to work',
       'change of color'], dtype=object)}",rejuvenation,born again,no longer exist,unable to work
1082,D,What emotion leads to punching?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['fists', 'hitting', 'boxing gloves', 'anger', 'hands'],
      dtype=object)}",fists,hitting,boxing gloves,anger
453,C,"If I put in my key and open a hinged door, where am I likely entering?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['kitchen', 'safe', 'own house', 'building', 'pantry'], dtype=object)}",kitchen,safe,own house,building
179,B,"If chewing food is difficult for you, what is a possible reason?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['broken jaw', 'sore mouth', 'eating', 'good digestion',
       'avoiding choking'], dtype=object)}",broken jaw,sore mouth,eating,good digestion
129,D,Where could you find hundreds of thousands of home?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['field', 'neighborhood', 'star can', 'city or town',
       'apartment building'], dtype=object)}",field,neighborhood,star can,city or town
621,C,"I picked from an apple tree outside of Fort Wayne, where am I?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['woods', 'illinois', 'indiana', 'washington state', 'tampa'],
      dtype=object)}",woods,illinois,indiana,washington state
896,B,What do young boys do on the ice in the winter?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['ski', 'play hockey', 'summer', 'knit', 'warm'], dtype=object)}",ski,play hockey,summer,knit
1094,D,When someone has little knowledge and is judging someone they are considered what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['objectivity', 'knowing yourself', 'experience', 'ignorance',
       'introduction'], dtype=object)}",objectivity,knowing yourself,experience,ignorance
30,B,If you are prone to postpone work what will you have to do in order to finish on time?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['eat', 'hasten', 'antedate', 'bring forward', 'advance'],
      dtype=object)}",eat,hasten,antedate,bring forward
1050,A,What animal is known for being a follower?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['goat', 'expensive', 'lion', 'wolf', 'meadow'], dtype=object)}",goat,expensive,lion,wolf
153,D,In order to learn to program from another person you can do what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['learn how to', 'have a friend', 'knowledge', 'take class',
       'have computer'], dtype=object)}",learn how to,have a friend,knowledge,take class
321,A,Sarah dropped the marble because she wanted to do what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['game', 'pouch', 'home', 'store', 'jar'], dtype=object)}",game,pouch,home,store
87,B,"If you're remembering something, it's because of your what of it to begin with?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['knowledge', 'knowing', 'forgetful', 'pleasure', 'depression'],
      dtype=object)}",knowledge,knowing,forgetful,pleasure
893,D,What is someone operating a vehicle likely to be accused of after becoming inebriated?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['punish', 'arrest', 'automobile accidents', 'drunk driving',
       'talking nonsense'], dtype=object)}",punish,arrest,automobile accidents,drunk driving
800,D,What might happen if someone is not losing weight?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['loose skin', 'beauty', 'miss universe', 'death', 'healthier'],
      dtype=object)}",loose skin,beauty,miss universe,death
627,B,"The town house went right to the curb, a slot effectively made a mailbox of the what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['apartment building', 'front door', 'back door', 'street corner',
       'porch'], dtype=object)}",apartment building,front door,back door,street corner
1220,C,What is another name for a disk for storing information?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['computer store', 'computer to store data', 'computer hard drive',
       'cd player', 'usb mouse'], dtype=object)}",computer store,computer to store data,computer hard drive,cd player
372,B,What is the most famous constellation out of earth?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['one moon', 'milky way', ""god's creation"", 'stars', 'universe'],
      dtype=object)}",one moon,milky way,god's creation,stars
194,C,What is the primary purpose of cars?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['cost money', 'slow down', 'move people', 'turn right',
       'get girls'], dtype=object)}",cost money,slow down,move people,turn right
333,A,What is happening while he's playing basketball for such a long time?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['sweating', 'pain', 'having fun', 'medium', 'knee injury'],
      dtype=object)}",sweating,pain,having fun,medium
550,A,Where could you go to between 1000 and 10000 restaurant?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['big city', 'town', 'small town', 'canada', 'yellow pages'],
      dtype=object)}",big city,town,small town,canada
822,C,Where off the eastern U.S. would you find an anemone?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['flower bed', 'tide pool', 'florida keys', 'coral sea', 'aquarium'],
      dtype=object)}",flower bed,tide pool,florida keys,coral sea
75,B,"If you are awaking multiple times throughout the night because a lot is on your mind, what is a likely cause?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['irritability', 'depression', 'getting out of bed', 'happiness',
       'discomfort'], dtype=object)}",irritability,depression,getting out of bed,happiness
559,A,"The teacher knew her students understood division, what was she hoping they would learn next?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['multiplication', 'multiply', 'putting together', 'unity',
       'pay debts'], dtype=object)}",multiplication,multiply,putting together,unity
96,B,Billy set aside a block of time for having fun after work. Why might he do this?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['happiness', 'stress relief', 'pleasure', 'ocean', 'may laugh'],
      dtype=object)}",happiness,stress relief,pleasure,ocean
1078,A,"The merchant wanted to open in a high-traffic space, where did he rent space?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['mall', 'business', 'store', 'sale', 'sell goods'], dtype=object)}",mall,business,store,sale
19,D,Where do adults use glue sticks?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['classroom', 'desk drawer', 'at school', 'office',
       'kitchen drawer'], dtype=object)}",classroom,desk drawer,at school,office
883,A,What probably has a lot of dust in the back?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['closet', 'door', 'corner', 'shelf', 'library'], dtype=object)}",closet,door,corner,shelf
855,A,Why would a woman kill a stranger she met in a dark alley?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['being raped', 'get rid of', ""they didn't know the passcode"",
       'get revenge', 'were evil'], dtype=object)}",being raped,get rid of,they didn't know the passcode,get revenge
1000,A,"The person signed up for home insurance, what is he seeking?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['financial security', 'live well', 'good relationship',
       'compliments', 'discounted furniture'], dtype=object)}",financial security,live well,good relationship,compliments
375,A,"If a court case is dismissed after hearing testimony, what would be a likely cause?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['change of heart', 'anguish', 'anger', 'boredom', 'anxiety'],
      dtype=object)}",change of heart,anguish,anger,boredom
911,D,Where is a good place to set a cup of coffee while relaxing?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['coffee shop', 'kitchen', 'hand', 'table', 'office'], dtype=object)}",coffee shop,kitchen,hand,table
155,D,What part of plants is pretty?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['dirt', 'no neurons in', 'millions of cells', 'flowers on',
       'roots'], dtype=object)}",dirt,no neurons in,millions of cells,flowers on
1151,B,Traveling from new place to new place is likely to be what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['going somewhere', 'exhilarating', 'diarrhea', 'relocation',
       'exhausting'], dtype=object)}",going somewhere,exhilarating,diarrhea,relocation
224,A,"Joan wants to cook a potato, where should she place it?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['boiling water', 'paper bag', 'restaurants', 'underground',
       'cupboard'], dtype=object)}",boiling water,paper bag,restaurants,underground
181,C,Where do you find the most amount of leafs?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['floral arrangement', 'ground', 'forrest', 'field', 'compost pile'],
      dtype=object)}",floral arrangement,ground,forrest,field
396,D,Where does one usually keep literature?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['books and magazines', 'own home', 'kitchen', 'shelf', 'meeting'],
      dtype=object)}",books and magazines,own home,kitchen,shelf
172,A,A supermarket is uncommon in what type of collection of shops?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['strip mall', 'city or town', 'shoppingcentre', 'boutique',
       'vermont'], dtype=object)}",strip mall,city or town,shoppingcentre,boutique
235,D,"The lady would eat and eat, and because of mental issues would then make herself what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['wash dishes', 'throwing up', 'drinking', 'throw up',
       'turn inside out'], dtype=object)}",wash dishes,throwing up,drinking,throw up
1086,D,"Dance can be elegant and specific, or you can just have fun and what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['falling down', 'trip', 'fall down', 'move around', 'celebrate'],
      dtype=object)}",falling down,trip,fall down,move around
1118,D,How would you express information if you do not have a pen or pencil?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['may disagree', 'close mouth', 'write down', 'talk', 'eyes'],
      dtype=object)}",may disagree,close mouth,write down,talk
0,A,"A revolving door is convenient for two direction travel, but it also serves as a security measure at a what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['bank', 'library', 'department store', 'mall', 'new york'],
      dtype=object)}",bank,library,department store,mall
552,D,Where is a statute found on a platform?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['below', 'arena', 'concert hall', 'museum', 'building'],
      dtype=object)}",below,arena,concert hall,museum
277,C,The old style pop ups literally let you see the story when you did what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['giggle', 'visualize', 'open book', 'reading', 'go to movies'],
      dtype=object)}",giggle,visualize,open book,reading
456,A,"They wanted to recognize his accomplishment, where should they put his name?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['certificate', 'directory', 'phone book', 'lineup', 'roster'],
      dtype=object)}",certificate,directory,phone book,lineup
222,A,"The car was going from Alabama to New York, what was its goal?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['head north', 'speed up', 'heading north', 'go fast',
       'headed south'], dtype=object)}",head north,speed up,heading north,go fast
1101,A,"Where can you find the meaning of ""ficus""?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['dictionary', 'apartment', 'libary', 'middle east', 'arboretum'],
      dtype=object)}",dictionary,apartment,libary,middle east
602,D,What can you use to store a book while traveling?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['library of congress', 'pocket', 'backpack', 'suitcase',
       'synagogue'], dtype=object)}",library of congress,pocket,backpack,suitcase
169,C,"When you fail to finish something, you failed at doing what to it","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['winning', 'passing', 'completing', 'do well', 'succeeding'],
      dtype=object)}",winning,passing,completing,do well
342,B,"Pens, computers, text books and paper clips can all be found where?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['desktop', 'university', 'drawer', 'table', 'work'], dtype=object)}",desktop,university,drawer,table
438,D,Where could you find hundreds of beauty salon?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['clerk', 'mall', 'strip mall', 'city', 'neighborhood'],
      dtype=object)}",clerk,mall,strip mall,city
205,A,Who might wear dark glasses indoors?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['blind person', 'glove box', 'movie studio', 'ray charles',
       'glove compartment'], dtype=object)}",blind person,glove box,movie studio,ray charles
1093,C,What is likely to have a better school cafeteria?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['high school', 'canteen', 'polytechnic', 'large room',
       'all kinds of schools'], dtype=object)}",high school,canteen,polytechnic,large room
206,B,Where would stones not be arranged in a path?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['quarries', 'field', 'park', 'bridge', 'made from rocks'],
      dtype=object)}",quarries,field,park,bridge
539,B,What are you getting from you boss at the end of the week?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['asking for', 'money', 'food', 'work', 'energy'], dtype=object)}",asking for,money,food,work
1147,D,All the power tools like the drill used for fixing cars made for a very loud workplace where?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['basement', 'work shop', 'tool shed', 'repair shop', 'store room'],
      dtype=object)}",basement,work shop,tool shed,repair shop
198,C,If a person with mental illness stops treatment what will likely happen?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['managed', 'dancing', 'recur', 'effectively treated',
       'cause suffering'], dtype=object)}",managed,dancing,recur,effectively treated
613,A,Why would you take a bus to work?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['commute', 'flying', 'get somewhere', 'travel', 'go home'],
      dtype=object)}",commute,flying,get somewhere,travel
898,B,"I listened to lecture intensely, what is my goal?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['gain confidence', 'concentrate', 'get attention', 'pay attention',
       'stop talking'], dtype=object)}",gain confidence,concentrate,get attention,pay attention
727,C,Where can books be read?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['cabinet', 'backpack', 'table', 'shelf', 'sink'], dtype=object)}",cabinet,backpack,table,shelf
561,B,Riding a bike for a long time can cause what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['enjoyment', 'fatigue', 'falling down', 'getting lost', 'thirst'],
      dtype=object)}",enjoyment,fatigue,falling down,getting lost
29,B,Committing perjury is a serious what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['indictment', 'crime', 'violence', 'lie', 'go to jail'],
      dtype=object)}",indictment,crime,violence,lie
1216,A,What would you do to a rock when climb up a cliff?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['grab', 'look down', 'throw', 'falling', 'may fall'], dtype=object)}",grab,look down,throw,falling
709,B,How does a person begin reproducing?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['genetic mutation', 'have sex', 'kiss', 'flirting',
       'going on a date'], dtype=object)}",genetic mutation,have sex,kiss,flirting
425,B,"The coach decided to make a lineup change, the team's effort was suffering from what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['stagnant', 'stagnation', 'tradition', 'hunger', 'paper money'],
      dtype=object)}",stagnant,stagnation,tradition,hunger
872,B,Where does lettuce arrive by large trucks?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['kitchen', 'supermarket', ""farmer's market"", 'salad',
       'refrigerator'], dtype=object)}",kitchen,supermarket,farmer's market,salad
5,C,What island country is ferret popular?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['own home', 'north carolina', 'great britain', 'hutch', 'outdoors'],
      dtype=object)}",own home,north carolina,great britain,hutch
757,A,"I want to see a prepared slide up close, what would I use to help?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['microscope', 'abbreviate', 'glasses', 'camera', 'telescope'],
      dtype=object)}",microscope,abbreviate,glasses,camera
753,B,What will likely happen after stabbing to death a person?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['gruesome', 'being arrested', 'pool of blood', 'mess', 'grisly'],
      dtype=object)}",gruesome,being arrested,pool of blood,mess
1172,D,Where is the closest place from where you could borrow salt?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['ocean water', 'table', 'shaker', ""neighbor's house"", 'lake'],
      dtype=object)}",ocean water,table,shaker,neighbor's house
871,D,"If a storey contained a panoramic view, what kind of structure would it be in?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['horizontal room', 'storey book', 'mall', 'tall building',
       'book of stories'], dtype=object)}",horizontal room,storey book,mall,tall building
261,D,"Billy hated using other people's toilets. He was only comfortable on his own.  So whenever he needed to poop, he would go back to his what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['bathroom', 'motel room', 'nearest public restroom', 'house',
       'apartment'], dtype=object)}",bathroom,motel room,nearest public restroom,house
273,B,What will god never do according to religion?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['anything', 'judge people', 'work miracles', 'judge men',
       'everywhere'], dtype=object)}",anything,judge people,work miracles,judge men
1062,B,What do you need to do to use television if it is already turned on?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['get wet', 'open eyes', 'kill', 'plug in', 'first turn on power'],
      dtype=object)}",get wet,open eyes,kill,plug in
85,A,"The man had a fear of illness, so he never visited friends who were a what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['sick person', 'hospital', 'elderly person', 'graveyard',
       ""doctor's office""], dtype=object)}",sick person,hospital,elderly person,graveyard
263,D,How can you let someone know about your anger without hurting him or her?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['release energy', 'destroy enemy', 'punch', 'write letter',
       'lose your temper'], dtype=object)}",release energy,destroy enemy,punch,write letter
1191,D,Why would one try to avoid work?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['making money', 'leave home', 'success', 'malaise', 'bad mood'],
      dtype=object)}",making money,leave home,success,malaise
76,C,Where does a wild bird usually live?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['cage', 'sky', 'countryside', 'desert', 'windowsill'], dtype=object)}",cage,sky,countryside,desert
473,C,What does a child learn to do before school?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['count to ten', 'state name', 'dress herself', 'clean room',
       'socialize'], dtype=object)}",count to ten,state name,dress herself,clean room
737,B,Lawyers often talk in front of an audience where?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['work', 'courtroom', 'office building', 'press charges', 'theatre'],
      dtype=object)}",work,courtroom,office building,press charges
977,A,"If a person stutters when he experiences anxiety or excitement, he'll have difficult doing what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['express information', 'dance', 'library', 'go somewhere', 'study'],
      dtype=object)}",express information,dance,library,go somewhere
1007,A,Paul wants carrots and doesn't need to drive anywhere. He gets them from where?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['refrigerator', 'store', ""farmer's market"", 'supermarket', 'dryer'],
      dtype=object)}",refrigerator,store,farmer's market,supermarket
208,C,"The hostess was good at her job, she always had a smile when she would what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['group people', 'ready parlor for guests', 'welcome guests',
       'work room', 'park'], dtype=object)}",group people,ready parlor for guests,welcome guests,work room
809,A,"The dog curled up for a nap, it was tuckered out because it had just been what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['walked', 'petted', 'affection', 'go outside', 'scratch'],
      dtype=object)}",walked,petted,affection,go outside
1122,D,Where would your hear a bass clarinet along side other wood wind instruments?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['opera house', 'school band', 'music store', 'orchestra',
       'bathroom stall'], dtype=object)}",opera house,school band,music store,orchestra
1065,B,Dan fell off a bar stool.  He did this because he was what than ever before?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['kitchen', 'drunker', 'tavern', 'restaurant', 'shorter'],
      dtype=object)}",kitchen,drunker,tavern,restaurant
122,D,Who do professors work with?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['methods of facts', 'teach courses', 'wear wrinkled tweed jackets',
       'school students', 'state facts'], dtype=object)}",methods of facts,teach courses,wear wrinkled tweed jackets,school students
475,A,According to what book did an apple tree lead to the downfall of man?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['bible', 'spain', 'harry potter', 'new york', 'woods'],
      dtype=object)}",bible,spain,harry potter,new york
